epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1977.89,1.40396,0.8862,1.08482,0.70981,0.63608,0.70286,0.39085,1.48041,0.91548,1.14068,0.000660045,0.000660045,0.000660045
43,2023.74,1.38803,0.88003,1.07978,0.64557,0.70389,0.68873,0.38777,1.48214,0.89587,1.1475,0.000649046,0.000649046,0.000649046
44,2069.14,1.39028,0.86851,1.07465,0.70851,0.65406,0.70998,0.40218,1.47107,0.90539,1.13845,0.000638047,0.000638047,0.000638047
45,2115.19,1.38152,0.85948,1.07525,0.72331,0.7346,0.7168,0.40608,1.47441,0.89745,1.14736,0.000627048,0.000627048,0.000627048
46,2160.74,1.38764,0.85505,1.07597,0.71637,0.65008,0.70519,0.38914,1.50362,0.88651,1.15674,0.000616049,0.000616049,0.000616049
47,2206.41,1.37335,0.85111,1.06885,0.68776,0.72368,0.71933,0.4094,1.47272,0.88859,1.13805,0.000605051,0.000605051,0.000605051
48,2252.82,1.38283,0.84563,1.07344,0.73047,0.69437,0.73868,0.4182,1.46549,0.89553,1.13582,0.000594052,0.000594052,0.000594052
49,2299.07,1.37362,0.84821,1.0687,0.73593,0.68981,0.72828,0.41113,1.47426,0.88308,1.13382,0.000583053,0.000583053,0.000583053
50,2344.69,1.37092,0.84615,1.06761,0.7047,0.70656,0.73093,0.41704,1.48049,0.86755,1.14412,0.000572054,0.000572054,0.000572054
51,2390.21,1.36996,0.84124,1.0644,0.72385,0.66233,0.7217,0.41666,1.47242,0.86993,1.14637,0.000561055,0.000561055,0.000561055
52,2435.6,1.36088,0.83125,1.06129,0.66874,0.69478,0.70146,0.40151,1.46567,0.85703,1.1384,0.000550056,0.000550056,0.000550056
53,2481.01,1.35685,0.82625,1.06352,0.71138,0.75488,0.73331,0.42209,1.46902,0.86192,1.14365,0.000539057,0.000539057,0.000539057
54,2526.16,1.36365,0.82055,1.06494,0.69296,0.71907,0.71535,0.40701,1.48487,0.86105,1.15436,0.000528058,0.000528058,0.000528058
55,2571.1,1.34925,0.81128,1.06008,0.74873,0.7025,0.74041,0.42108,1.4813,0.85159,1.15322,0.000517059,0.000517059,0.000517059
56,2616.31,1.35019,0.80851,1.05992,0.69669,0.69714,0.72989,0.42094,1.48111,0.85587,1.14727,0.00050606,0.00050606,0.00050606
57,2661.36,1.34043,0.80655,1.06366,0.66277,0.7125,0.70931,0.40726,1.4866,0.85121,1.15509,0.000495062,0.000495062,0.000495062
58,2706.31,1.3475,0.80154,1.06152,0.71994,0.69659,0.75134,0.41707,1.49014,0.85315,1.15281,0.000484063,0.000484063,0.000484063
59,2750.98,1.34236,0.80024,1.05723,0.69912,0.71066,0.70448,0.40069,1.47743,0.84618,1.14768,0.000473064,0.000473064,0.000473064
60,2796.48,1.33685,0.80248,1.05957,0.71768,0.70637,0.73097,0.42568,1.46421,0.84268,1.14584,0.000462065,0.000462065,0.000462065
61,2842.01,1.34053,0.79542,1.05712,0.69396,0.66087,0.69975,0.39899,1.49297,0.85574,1.15961,0.000451066,0.000451066,0.000451066
62,2886.45,1.33526,0.79185,1.05666,0.67272,0.73077,0.71479,0.40942,1.47284,0.84026,1.15215,0.000440067,0.000440067,0.000440067
63,2931.46,1.3315,0.78105,1.05413,0.66402,0.74959,0.71797,0.41451,1.46775,0.83393,1.14214,0.000429068,0.000429068,0.000429068
64,2976.63,1.32427,0.78554,1.04736,0.72152,0.69427,0.72568,0.42016,1.46932,0.83411,1.1457,0.000418069,0.000418069,0.000418069
65,3021.52,1.32645,0.77332,1.05171,0.73879,0.72264,0.73776,0.41767,1.46965,0.83917,1.14353,0.00040707,0.00040707,0.00040707
66,3066.28,1.32376,0.77405,1.04775,0.74192,0.67989,0.72639,0.42042,1.46719,0.83809,1.14398,0.000396071,0.000396071,0.000396071
67,3111.24,1.31176,0.7714,1.04846,0.73418,0.67481,0.73401,0.42017,1.47702,0.83764,1.15135,0.000385073,0.000385073,0.000385073
68,3155.76,1.30497,0.76234,1.04419,0.71619,0.74961,0.73309,0.42185,1.46716,0.82828,1.14777,0.000374074,0.000374074,0.000374074
69,3200.67,1.31315,0.76081,1.04631,0.72285,0.73707,0.73427,0.41667,1.46803,0.83825,1.14811,0.000363075,0.000363075,0.000363075
70,3245.45,1.30578,0.75014,1.04648,0.71079,0.72894,0.73422,0.41849,1.47399,0.83043,1.15032,0.000352076,0.000352076,0.000352076
71,3289.91,1.30296,0.75498,1.04244,0.75625,0.67669,0.72851,0.41494,1.47317,0.82859,1.14848,0.000341077,0.000341077,0.000341077
72,3335.1,1.29898,0.74548,1.03596,0.77298,0.71474,0.76394,0.42689,1.47675,0.82723,1.15053,0.000330078,0.000330078,0.000330078
73,3379.85,1.2959,0.74559,1.03682,0.7033,0.75322,0.74254,0.43243,1.47891,0.82496,1.15533,0.000319079,0.000319079,0.000319079
74,3424.91,1.28292,0.73937,1.03277,0.76041,0.72628,0.76469,0.43908,1.4701,0.82317,1.14535,0.00030808,0.00030808,0.00030808
75,3469.73,1.29631,0.74876,1.03902,0.72976,0.74225,0.76891,0.43028,1.46932,0.82468,1.14461,0.000297081,0.000297081,0.000297081
76,3514.73,1.28896,0.73533,1.03661,0.75809,0.70903,0.74291,0.42575,1.46353,0.81888,1.14186,0.000286083,0.000286083,0.000286083
77,3559.77,1.283,0.73119,1.03318,0.7293,0.75075,0.73918,0.42354,1.47276,0.822,1.14628,0.000275084,0.000275084,0.000275084
78,3604.76,1.28532,0.73369,1.03936,0.78213,0.71828,0.78271,0.44749,1.47319,0.81259,1.15082,0.000264085,0.000264085,0.000264085
79,3650.04,1.28465,0.72955,1.03416,0.75296,0.74872,0.74508,0.427,1.47441,0.81728,1.15248,0.000253086,0.000253086,0.000253086
80,3694.69,1.27158,0.72328,1.03437,0.78466,0.68813,0.75024,0.42926,1.46735,0.81713,1.15206,0.000242087,0.000242087,0.000242087
81,3740.05,1.27205,0.72274,1.03,0.75897,0.70975,0.74947,0.42836,1.47607,0.81485,1.15605,0.000231088,0.000231088,0.000231088
82,3786.08,1.26972,0.71305,1.0275,0.77494,0.7028,0.75846,0.43396,1.4713,0.81325,1.15026,0.000220089,0.000220089,0.000220089
83,3831.48,1.26747,0.71541,1.02799,0.76519,0.70134,0.74993,0.42056,1.47355,0.80957,1.15259,0.00020909,0.00020909,0.00020909
84,3876.64,1.27484,0.71476,1.0312,0.75268,0.72848,0.75137,0.42637,1.47001,0.81303,1.14896,0.000198091,0.000198091,0.000198091
